date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:15	188094/188094	---M--	200	added ('OK')	image/jpeg	etag:W/%22302e2d0df76a68f3d517f252377cb572%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575beb1022482ea137066c3f/1465642038559/Picture+1254.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575beb1022482ea137066c3f/1465642038559/Picture+1254.jpg	(from http://www.dilseeducationfoundation.org/)
13:09:16	598422/598422	---M--	200	added ('OK')	image/jpeg	etag:W/%2206df111482f670256a932a0a3341e785%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be99959827eb21b7157c4/1465641426096/DSC_0187.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be99959827eb21b7157c4/1465641426096/DSC_0187.jpg	(from http://www.dilseeducationfoundation.org/)
13:09:24	581516/581516	---M--	200	added ('OK')	image/jpeg	etag:W/%2200d7322adee066646980742123c04269%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be99d22482ea1370669a7/1465641424769/DSC_0227.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be99d22482ea1370669a7/1465641424769/DSC_0227.jpg	(from http://www.dilseeducationfoundation.org/)
13:09:36	591873/591873	---M--	200	added ('OK')	image/jpeg	etag:W/%220edae0118705b6ec979a98ed670f25b7%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be9cc22482ea137066a18/1465641461604/DSC_0241.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be9cc22482ea137066a18/1465641461604/DSC_0241.jpg	(from http://www.dilseeducationfoundation.org/)
13:09:40	526582/526582	---M--	200	added ('OK')	image/jpeg	etag:W/%22b46b81c6f6e71f22c7b3c574103790ad%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be9cf59827eb21b71582e/1465641465266/DSC_0242.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be9cf59827eb21b71582e/1465641465266/DSC_0242.jpg	(from http://www.dilseeducationfoundation.org/)
13:11:05	617026/617026	---M--	200	added ('OK')	image/jpeg	etag:W/%22d3d838f86adf2f8025caa3d7f7a73b0d%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be9f559827eb21b71587a/1465641505916/DSC_0248.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be9f559827eb21b71587a/1465641505916/DSC_0248.jpg	(from http://www.dilseeducationfoundation.org/)
13:11:07	684831/684831	---M--	200	added ('OK')	image/jpeg	etag:W/%2239c0c555eb61c16eafa03983efa31789%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be9f222482ea137066a4e/1465641503178/DSC_0247.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be9f222482ea137066a4e/1465641503178/DSC_0247.jpg	(from http://www.dilseeducationfoundation.org/)
13:11:18	604631/604631	---M--	200	added ('OK')	image/jpeg	etag:W/%225b3442ab7014741e6afd25e89331bc56%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575bea3f59827eb21b715910/1465641584390/DSC_0264.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575bea3f59827eb21b715910/1465641584390/DSC_0264.jpg	(from http://www.dilseeducationfoundation.org/)
13:11:25	672672/672672	---M--	200	added ('OK')	image/jpeg	etag:W/%22e3e9fc846a0c1bf0fcfa0d334d61bcc9%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575bea1b22482ea137066a87/1465641548108/DSC_0258.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575bea1b22482ea137066a87/1465641548108/DSC_0258.jpg	(from http://www.dilseeducationfoundation.org/)
13:12:20	372793/372793	---M--	200	added ('OK')	image/jpeg	etag:W/%228e075847105035f026c18bd0567f01f0%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575bec6c86db43c5eac3a92c/1465642116196/IMG_3280.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575bec6c86db43c5eac3a92c/1465642116196/IMG_3280.jpg	(from http://www.dilseeducationfoundation.org/)
